DataNotaFiscal;Fabricante;Estado;ValorVenda;ValorCusto;TotalDesconto;CustoEntrega;CustoMaoDeObra;NomeCliente;Modelo;Cor;Ano
02/06/2015;Jaguar;Rio de Janeiro;44000;67000;200;-50;250;BritWheels;XK;Prata;2015
02/07/2015;Jaguar;Rio de Janeiro;44000;30700;350;-50;250;BritWheels;XK;Prata;2015
02/08/2015;Jaguar;Rio de Janeiro;42250;30700;200;-50;250;Ambassador Cars;XK;Prata;2015
02/09/2015;Jaguar;Rio de Janeiro;42250;30700;200;-50;250;Embassy Motors;XK;Prata;2015
02/10/2015;Jaguar;Rio de Janeiro;42250;67000;200;-50;250;Embassy Motors;XK;Prata;2015
02/11/2015;Jaguar;Rio de Janeiro;42250;30700;350;-50;250;Style ‘N Ride;XK;Prata;2015
02/12/2015;Jaguar;Rio de Janeiro;44000;67000;200;-50;250;BritWheels;XK;Azul;2015
02/01/2015;Jaguar;Rio de Janeiro;44000;67000;150;-50;250;Sporty Types Corp;XK;Azul;2015
02/02/2015;MGB;Rio de Janeiro;42250;9500;200;-50;325;British Luxury Automobile Corp;GT;Vermelho;2015
02/03/2015;MGB;Rio de Janeiro;42250;13500;150;-50;325;Sporty Types Corp;GT;Verde;2015
02/04/2015;MGB;Rio de Janeiro;28000;9500;350;-50;325;Sporty Types Corp;GT;Vermelho;2015
02/05/2015;MGB;Rio de Janeiro;25250;13500;200;-50;325;BritWheels;GT;Vermelho;2015
02/06/2015;MGB;Rio de Janeiro;25250;9500;200;50;325;BritWheels;GT;Vermelho;2015
02/07/2015;MGB;Rio de Janeiro;25250;13500;150;-50;325;Style ‘N Ride;GT;Vermelho;2015
02/08/2015;MGB;Rio de Janeiro;28000;9500;350;-50;325;Embassy Motors;GT;Azul;2015
02/09/2015;MGB;Rio de Janeiro;25250;13500;200;-50;325;Ambassador Cars;GT;Verde;2015
02/10/2015;MGB;Rio de Janeiro;28000;9500;200;50;325;Embassy Motors;GT;Prata;2015
02/11/2015;MGB;Rio de Janeiro;25250;13500;200;-50;325;Style ‘N Ride;GT;Prata;2015
02/12/2015;MGB;Rio de Janeiro;28000;9500;200;-50;325;Ambassador Cars;GT;Azul;2015
02/01/2015;MGB;Rio de Janeiro;25250;9500;150;-50;325;Union Jack Sports Cars;GT;Verde;2015
02/02/2015;Triumph;Rio de Janeiro;25250;13500;200;-50;325;Union Jack Sports Cars;TR4;Preto;2015
02/03/2015;Triumph;Rio de Janeiro;28000;22000;200;-50;325;Embassy Motors;TR4;Púrpura;2015
02/05/2015;Triumph;Rio de Janeiro;25250;22000;200;-50;325;Style ‘N Ride;TR4;Azul;2015
02/07/2015;Triumph;Rio de Janeiro;25250;22000;200;-50;325;BritWheels;TR4;Prata;2015
02/08/2015;Triumph;Rio de Janeiro;28000;22000;200;50;325;Sporty Types Corp;TR4;Azul;2015
02/09/2015;Triumph;Rio de Janeiro;25250;22000;200;-50;325;Style ‘N Ride;TR4;Azul;2015
02/10/2015;Triumph;Rio de Janeiro;28000;22000;200;-50;325;Ambassador Cars;TR4;Vermelho;2015
02/11/2015;Triumph;Rio de Janeiro;28000;22000;200;-50;325;Classy Car Sales;TR4;Vermelho;2015
02/12/2015;Triumph;Rio de Janeiro;28000;22000;200;-50;325;British Luxury Automobile Corp;TR4;Verde;2015
09/01/2015;Triumph;Rio de Janeiro;28000;22000;550;875;450;Embassy Motors;TR4;Prata;2015
10/01/2015;Aston Martin;Rio de Janeiro;77250;36125;1300;875;1250;BritWheels;DB9;Vermelho;2015
11/02/2015;Aston Martin;Rio de Janeiro;72000;22500;550;875;1250;Style ‘N Ride;DB9;Azul;2015
12/03/2015;Aston Martin;Rio de Janeiro;25500;27500;1050;875;950;Classy Car Sales;DB9;Verde;2015
13/03/2015;Aston Martin;Rio de Janeiro;39750;22500;800;875;1250;Style ‘N Ride;DB9;Prata;2015
14/03/2015;Rolls Royce;Rio de Janeiro;77250;36125;1050;875;1250;Style ‘N Ride;Camargue;Prata;2015
15/04/2015;Aston Martin;Rio de Janeiro;48550;22500;2550;250;950;Style ‘N Ride;DB9;Azul;2015
16/04/2015;Rolls Royce;Rio de Janeiro;25500;27500;1300;250;1250;Style ‘N Ride;Camargue;Preto;2015
17/05/2015;Aston Martin;Rio de Janeiro;48550;22500;1050;250;1250;Ambassador Cars;DB9;Vermelho;2015
18/05/2015;Aston Martin;Rio de Janeiro;39750;22500;550;875;1250;Tweedy Wheels;DB9;Azul;2015
19/05/2015;Aston Martin;Rio de Janeiro;48550;22500;1050;-75;1250;Embassy Motors;DB9;Verde;2015
20/06/2015;Aston Martin;Rio de Janeiro;40440;27500;2550;875;950;Union Jack Sports Cars;DB9;Prata;2015
21/07/2015;Aston Martin;Rio de Janeiro;77250;22500;1300;875;1250;Style ‘N Ride;DB9;Prata;2015
22/07/2015;Rolls Royce;Rio de Janeiro;48550;22500;1050;175;1250;Sporty Types Corp;Camargue;Púrpura;2015
23/09/2015;Aston Martin;Rio de Janeiro;39750;27500;1300;-75;1250;Buckingham Palace Car Services;DB9;Preto;2015
24/10/2015;Aston Martin;Rio de Janeiro;40440;22500;550;175;1250;British Luxury Automobile Corp;DB9;Vermelho;2015
25/11/2015;Rolls Royce;Rio de Janeiro;72000;22500;1050;-75;950;Classy Car Sales;Camargue;Azul;2015
26/11/2015;Aston Martin;Rio de Janeiro;40440;36125;800;875;1250;Ambassador Cars;DB9;Verde;2015
27/11/2015;Aston Martin;Rio de Janeiro;77250;22500;550;875;1250;Embassy Motors;DB9;Prata;2015
